fl_date,mkt_unique_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,crs_elapsed_time,air_time,distance
2018-05-01,AA,3606,MQ,N529EA,3606,14307,PVD,"Providence, RI",13930,ORD,"Chicago, IL",1625,1621,-4,15,1636,1736,14,1809,1750,-19,164,120,849
2018-05-01,AA,3542,MQ,N542EA,3542,13930,ORD,"Chicago, IL",15096,SYR,"Syracuse, NY",1500,1459,-1,22,1521,1743,3,1739,1746,7,99,82,607
2018-11-01,AA,2777,AA,N501AA,2777,12896,LBB,"Lubbock, TX",11298,DFW,"Dallas/Fort Worth, TX",808,844,36,26,910,1001,14,934,1015,41,86,51,282
2018-02-01,AA,3365,MQ,N531EG,3365,13930,ORD,"Chicago, IL",10792,BUF,"Buffalo, NY",845,844,-1,22,906,1107,2,1117,1109,-8,92,61,474
2018-10-01,AA,2862,EV,N608QX,2862,11298,DFW,"Dallas/Fort Worth, TX",12511,JLN,"Joplin, MO",2042,2037,-5,28,2105,2200,5,2159,2205,6,77,55,327
2018-06-01,AA,3316,MQ,N831AE,3316,14492,RDU,"Raleigh/Durham, NC",12953,LGA,"New York, NY",740,906,86,35,941,1053,12,929,1105,96,109,72,431
2018-06-01,AA,3315,MQ,N655AE,3315,11298,DFW,"Dallas/Fort Worth, TX",12992,LIT,"Little Rock, AR",655,649,-6,14,703,757,5,812,802,-10,77,54,304
2019-04-29,AA,160,AA,N160AN,160,13930,ORD,"Chicago, IL",13303,MIA,"Miami, FL",1643,1637,-6,12,1649,2013,6,2050,2019,-31,187,144,1197
2019-10-01,AA,5122,OH,N248PS,5122,10868,CAE,"Columbia, SC",11278,DCA,"Washington, DC",921,916,-5,10,926,1042,7,1050,1049,-1,89,76,408
2019-02-01,AA,217,AA,N892NN,217,11057,CLT,"Charlotte, NC",12478,JFK,"New York, NY",740,738,-2,14,752,908,9,939,917,-22,119,76,541
2019-06-01,AA,5726,YV,N923FJ,5726,14730,SDF,"Louisville, KY",11298,DFW,"Dallas/Fort Worth, TX",1033,1029,-4,13,1042,1134,14,1150,1148,-2,137,112,733
2019-11-01,AA,5809,YV,N902FJ,5809,11298,DFW,"Dallas/Fort Worth, TX",13158,MAF,"Midland/Odessa, TX",840,910,30,19,929,1024,3,951,1027,36,71,55,309
2019-11-01,AA,5811,YV,N931LR,5811,11298,DFW,"Dallas/Fort Worth, TX",12191,HOU,"Houston, TX",656,652,-4,21,713,756,2,812,758,-14,76,43,247
2019-06-01,AA,5726,YV,N923FJ,5726,11298,DFW,"Dallas/Fort Worth, TX",14730,SDF,"Louisville, KY",655,653,-2,14,707,940,6,1003,946,-17,128,93,733
2019-11-01,AA,5828,YV,N243LR,5828,10599,BHM,"Birmingham, AL",11298,DFW,"Dallas/Fort Worth, TX",1455,1444,-11,11,1455,1635,11,1700,1646,-14,125,100,597
2019-01-01,AA,5621,OH,N720PS,5621,11057,CLT,"Charlotte, NC",13360,MLB,"Melbourne, FL",1140,1139,-1,30,1209,1325,3,1328,1328,0,108,76,490
2019-08-01,AA,580,AA,N668AW,580,14107,PHX,"Phoenix, AZ",13891,ONT,"Ontario, CA",1440,1559,79,14,1613,1703,6,1551,1709,78,71,50,325
2019-02-01,AA,219,AA,N128AN,219,13204,MCO,"Orlando, FL",12892,LAX,"Los Angeles, CA",1600,1558,-2,20,1618,1809,5,1835,1814,-21,335,291,2218
2019-06-01,AA,5725,YV,N924FJ,5725,15370,TUL,"Tulsa, OK",11298,DFW,"Dallas/Fort Worth, TX",1433,1428,-5,28,1456,1540,17,1549,1557,8,76,44,237
2019-08-01,AA,582,AA,N163US,582,12892,LAX,"Los Angeles, CA",11298,DFW,"Dallas/Fort Worth, TX",1307,1420,73,13,1433,1908,8,1823,1916,53,196,155,1235
2019-05-01,AA,4539,YX,N125HQ,4539,11278,DCA,"Washington, DC",14122,PIT,"Pittsburgh, PA",2000,1953,-7,17,2010,2047,6,2107,2053,-14,67,37,204
2019-01-01,AA,5606,OH,N575NN,5606,13577,MYR,"Myrtle Beach, SC",11057,CLT,"Charlotte, NC",2157,2158,1,10,2208,2248,20,2311,2308,-3,74,40,157
