"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-07-01","G4","G4","G4",867,"G4","325NV",867,14112,"PIE","St. Petersburg, FL",14524,"RIC","Richmond, VA",1312,1304,-8.0,8,1312,1449,7,1512,1456,-16.0,0,NULL,0,"N",120,112,97,1,731,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-01","G4","G4","G4",2392,"G4","251NV",2392,14108,"PIA","Peoria, IL",14761,"SFB","Sanford, FL",1523,1523,0,9,1532,1825,7,1842,1832,-10.0,0,NULL,0,"N",139,129,113,1,949,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-01","G4","G4","G4",336,"G4","315NV",336,12892,"LAX","Los Angeles, CA",15370,"TUL","Tulsa, OK",1550,1544,-6.0,15,1559,2019,7,2049,2026,-23.0,0,NULL,0,"N",179,162,140,1,1283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-10-01","G4","G4","G4",607,"G4","257NV",607,10466,"AZA","Phoenix, AZ",12280,"IDA","Idaho Falls, ID",800,800,0,15,815,1032,7,1054,1039,-15.0,0,NULL,0,"N",114,99,77,1,704,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-01","G4","G4","G4",1657,"G4","262NV",1657,12265,"IAG","Niagara Falls, NY",14082,"PGD","Punta Gorda, FL",1156,1213,17,15,1228,1507,7,1447,1514,27,0,NULL,0,"N",171,181,159,1,1129,0,0,10,0,17,NULL,NULL,NULL,NULL
"2019-09-01","G4","G4","G4",2316,"G4","254NV",2316,14761,"SFB","Sanford, FL",10980,"CHA","Chattanooga, TN",1243,1236,-7.0,14,1250,1357,4,1421,1401,-20.0,0,NULL,0,"N",98,85,67,1,490,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-12-01","G4","G4","G4",2112,"G4","314NV",2112,14761,"SFB","Sanford, FL",10581,"BGR","Bangor, ME",725,719,-6.0,10,729,1000,5,1025,1005,-20.0,0,NULL,0,"N",180,166,151,1,1299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-01","G4","G4","G4",2149,"G4","325NV",2149,13244,"MEM","Memphis, TN",14761,"SFB","Sanford, FL",1502,1458,-4.0,11,1509,1740,4,1751,1744,-7.0,0,NULL,0,"N",109,106,91,1,671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-01","G4","G4","G4",355,"G4","302NV",355,13244,"MEM","Memphis, TN",12892,"LAX","Los Angeles, CA",2101,2125,24,13,2138,2349,14,2319,3,44,0,NULL,0,"N",258,278,251,1,1619,0,0,44,0,0,NULL,NULL,NULL,NULL
"2019-08-01","G4","G4","G4",1919,"G4","248NV",1919,14761,"SFB","Sanford, FL",11612,"EVV","Evansville, IN",1907,1911,4,15,1926,2003,7,2007,2010,3,0,NULL,0,"N",120,119,97,1,734,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-01","G4","G4","G4",897,"G4","301NV",897,14730,"SDF","Louisville, KY",14112,"PIE","St. Petersburg, FL",2003,2002,-1.0,18,2020,2159,7,2204,2206,2,0,NULL,0,"N",121,124,99,1,729,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
