mkt_unique_carrier,2018,2019
AS,60,60
NK,60,60
VX,15,0
AA,60,60
B6,60,60
F9,60,60
G4,60,60
HA,60,60
DL,60,60
UA,60,60
WN,60,60
,,
Total,615,600
