"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-10-01","F9","F9","F9",647,"F9","N205FR",647,11193,"CVG","Cincinnati, OH",11292,"DEN","Denver, CO",1239,1322,43,9,1331,1351,9,1346,1400,14,0,NULL,0,"N",187,158,140,1,1069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-02","F9","F9","F9",2847,"F9",NULL,2847,12391,"ISP","Islip, NY",11697,"FLL","Fort Lauderdale, FL",1543,NULL,NULL,NULL,NULL,NULL,NULL,1902,NULL,NULL,1,"A",0,"N",199,NULL,NULL,1,1092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-02","F9","F9","F9",2427,"F9",NULL,2427,11042,"CLE","Cleveland, OH",14679,"SAN","San Diego, CA",1102,NULL,NULL,NULL,NULL,NULL,NULL,1244,NULL,NULL,1,"A",0,"N",282,NULL,NULL,1,2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-01","F9","F9","F9",279,"F9","N210FR",279,12451,"JAX","Jacksonville, FL",15016,"STL","St. Louis, MO",745,900,75,11,911,957,6,900,1003,63,0,NULL,0,"N",135,123,106,1,753,63,0,0,0,0,NULL,NULL,NULL,NULL
"2019-09-01","F9","F9","F9",1182,"F9",NULL,1182,13204,"MCO","Orlando, FL",14307,"PVD","Providence, RI",1426,NULL,NULL,NULL,NULL,NULL,NULL,1720,NULL,NULL,1,"B",0,"N",174,NULL,NULL,1,1072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-01","F9","F9","F9",2500,"F9","N201FR",2500,15304,"TPA","Tampa, FL",10792,"BUF","Buffalo, NY",718,709,-9,19,728,952,12,1000,1004,4,0,NULL,0,"N",162,175,144,1,1053,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-01","F9","F9","F9",882,"F9","N205FR",882,11057,"CLT","Charlotte, NC",15356,"TTN","Trenton, NJ",2134,2136,2,12,2148,2251,7,2314,2258,-16,0,NULL,0,"N",100,82,63,1,484,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-01","F9","F9","F9",171,"F9","N210FR",171,14100,"PHL","Philadelphia, PA",11292,"DEN","Denver, CO",1629,1623,-6,26,1649,1829,9,1859,1838,-21,0,NULL,0,"N",270,255,220,1,1558,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-01","F9","F9","F9",800,"F9","N211FR",800,13204,"MCO","Orlando, FL",15356,"TTN","Trenton, NJ",800,755,-5,22,817,1019,9,1029,1028,-1,0,NULL,0,"N",149,153,122,1,896,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-12-03","F9","F9","F9",1595,"F9",NULL,1595,14492,"RDU","Raleigh/Durham, NC",13303,"MIA","Miami, FL",1529,NULL,NULL,NULL,NULL,NULL,NULL,1744,NULL,NULL,1,"A",0,"N",135,NULL,NULL,1,700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-01","F9","F9","F9",451,"F9","N205FR",451,10792,"BUF","Buffalo, NY",11292,"DEN","Denver, CO",1056,1046,-10,11,1057,1206,14,1235,1220,-15,0,NULL,0,"N",219,214,189,1,1359,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","F9","F9","F9",752,"F9",NULL,752,14107,"PHX","Phoenix, AZ",11292,"DEN","Denver, CO",1240,NULL,NULL,NULL,NULL,NULL,NULL,1536,NULL,NULL,1,"A",0,"N",116,NULL,NULL,1,602,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-01","F9","F9","F9",734,"F9",NULL,734,10643,"BKG","Branson, MO",13930,"ORD","Chicago, IL",2133,NULL,NULL,NULL,NULL,NULL,NULL,2318,NULL,NULL,1,"B",0,"N",105,NULL,NULL,1,471,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-01","F9","F9","F9",1103,"F9","N201FR",1103,13204,"MCO","Orlando, FL",12889,"LAS","Las Vegas, NV",605,613,8,15,628,807,6,828,813,-15,0,NULL,0,"N",323,300,279,1,2039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-01","F9","F9","F9",2822,"F9","N201FR",2822,14107,"PHX","Phoenix, AZ",11109,"COS","Colorado Springs, CO",1504,1454,-10,13,1507,1729,7,1748,1736,-12,0,NULL,0,"N",104,102,82,1,551,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-01","F9","F9","F9",2020,"F9","N201FR",2020,12889,"LAS","Las Vegas, NV",11109,"COS","Colorado Springs, CO",918,911,-7,17,928,1149,5,1222,1154,-28,0,NULL,0,"N",124,103,81,1,604,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","F9","F9","F9",2422,"F9",NULL,2422,14635,"RSW","Fort Myers, FL",11042,"CLE","Cleveland, OH",1810,NULL,NULL,NULL,NULL,NULL,NULL,2052,NULL,NULL,1,"A",0,"N",162,NULL,NULL,1,1025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","F9","F9","F9",191,"F9",NULL,191,10423,"AUS","Austin, TX",11292,"DEN","Denver, CO",1232,NULL,NULL,NULL,NULL,NULL,NULL,1353,NULL,NULL,1,"A",0,"N",141,NULL,NULL,1,775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-01","F9","F9","F9",803,"F9","N201FR",803,15356,"TTN","Trenton, NJ",13204,"MCO","Orlando, FL",600,554,-6,65,659,918,16,847,934,47,0,NULL,0,"N",167,220,139,1,896,0,0,47,0,0,NULL,NULL,NULL,NULL
"2019-11-01","F9","F9","F9",646,"F9","N202FR",646,11193,"CVG","Cincinnati, OH",12953,"LGA","New York, NY",2007,1957,-10,14,2011,2132,7,2200,2139,-21,0,NULL,0,"N",113,102,81,1,585,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-10-01","F9","F9","F9",266,"F9","N205FR",266,14908,"SNA","Santa Ana, CA",11292,"DEN","Denver, CO",1947,1943,-4,18,2001,2247,8,2307,2255,-12,0,NULL,0,"N",140,132,106,1,846,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-01","F9","F9","F9",1907,"F9","N312FR",1907,10423,"AUS","Austin, TX",14908,"SNA","Santa Ana, CA",1559,1549,-10,14,1603,1703,8,1719,1711,-8,0,NULL,0,"N",200,202,180,1,1209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
