fl_date,mkt_carrier,dep_delay,taxi_out,taxi_in,air_time,distance,arr_delay
2019-02-01,AS,-1,3,4,123,792,-21
2019-11-01,AS,-7,10,5,94,630,-23
2019-02-01,AS,-6,28,8,335,2329,0
2019-04-01,AS,-1,44,4,161,1430,-2
2019-09-01,AS,-10,10,4,124,817,-12
2019-04-01,AS,-5,7,3,24,103,-16
2019-09-01,AS,-7,13,4,72,479,-13
2019-02-01,AS,-5,4,3,142,792,9
2019-05-01,AS,-5,22,12,288,2402,-13
2019-03-01,AS,-2,17,15,168,1399,-2
2019-08-01,AS,9,13,4,201,1476,2
2019-07-01,AS,-5,14,7,99,689,-20
2019-03-01,AS,31,23,3,297,2717,9
2019-06-01,AS,-6,15,2,197,1542,-12
2019-03-01,AS,9,89,7,207,1399,72
2019-12-01,AS,0,30,8,25,103,17
2019-11-01,AS,-3,9,4,96,722,-19
2019-06-01,AS,-8,10,6,191,1542,-16
2019-01-01,AS,-3,17,3,55,399,-12
2019-06-01,AS,-6,7,4,188,1533,-22
2019-01-01,AS,14,25,5,225,1450,14
2019-08-01,AS,202,5,3,132,792,198
2019-10-01,AS,-5,17,12,79,508,-12
2019-10-01,AS,4,14,8,216,1626,7
2019-03-01,AS,-16,15,4,37,234,-20
2019-06-01,AS,1,18,22,301,2586,-3
2019-12-01,AS,-8,27,4,33,103,4
2019-02-01,AS,18,5,2,118,792,-7
2019-11-01,AS,-9,13,5,103,722,-28
2019-11-01,AS,-5,12,7,86,630,0
2019-07-01,AS,-8,17,7,207,1476,-2
2019-11-01,AS,-3,17,4,68,479,-9
2019-07-01,AS,-10,11,4,74,543,-21
2019-10-01,AS,0,19,7,211,1626,-23
2019-07-01,AS,-5,8,16,101,722,-5
2019-04-01,AS,-7,6,3,25,106,-13
2019-01-01,AS,-8,17,3,149,1164,-11
2019-12-01,AS,-3,22,6,84,399,6
2019-08-01,AS,214,3,4,122,792,208
2019-10-01,AS,-8,15,13,58,400,-22
2019-06-01,AS,0,33,7,333,2475,-7
2019-09-01,AS,-13,9,6,97,722,-41
2019-01-01,AS,-3,10,6,186,1450,-9
2019-05-01,AS,-7,16,27,318,2422,-26
2019-09-01,AS,0,16,5,106,722,2
2019-04-01,AS,-6,10,11,55,279,-10
2019-05-01,AS,-4,35,8,313,2329,-8
2019-09-01,AS,-10,11,10,88,630,-1
2019-07-01,AS,-7,21,5,196,1476,-10
2019-03-01,AS,-7,16,9,388,2717,-9
2019-02-01,AS,-4,16,2,142,792,21
2019-04-01,AS,-5,17,4,253,1670,-11
2019-10-01,AS,-10,29,3,160,1182,-8
2018-05-01,B6,-8,19,6,301,2586,-20
2018-08-01,B6,20,13,6,207,1608,6
2018-01-01,B6,25,23,14,223,1598,37
2018-05-01,B6,-8,10,6,254,2173,-16
2018-04-01,B6,-15,16,6,298,2173,-30
2018-06-01,B6,79,13,11,134,944,72
2018-10-01,B6,12,13,4,60,402,7
2018-09-01,B6,19,14,7,259,2173,1
2018-09-01,B6,4,19,6,136,1028,2
2018-01-01,B6,32,43,8,181,1069,74
2018-07-01,B6,-5,11,5,257,2153,-18
2018-10-01,B6,13,8,3,67,402,7
2018-06-01,B6,104,24,9,71,427,104
2018-12-01,B6,-9,10,15,66,354,-7
2018-09-01,B6,16,19,7,280,2173,12
2018-04-01,B6,41,26,15,134,740,42
2018-02-01,B6,-1,16,9,151,1197,-1
2018-01-01,B6,9,35,10,48,266,29
2018-11-01,B6,-10,14,3,41,200,-13
2018-02-01,B6,4,19,4,155,1069,-13
2018-09-01,B6,16,20,5,137,1069,-11
2018-12-01,B6,-14,11,6,104,634,-15
2018-06-01,B6,7,19,4,82,427,-8
2018-04-01,B6,399,19,7,148,1065,395
2018-07-01,B6,-3,10,4,65,444,-8
2018-02-01,B6,-14,12,17,275,2588,-26
2018-08-01,B6,-3,23,18,305,2588,6
2018-07-01,B6,22,20,3,151,1197,5
2018-12-01,B6,-1,14,4,99,680,-4
2018-02-01,B6,-2,19,2,359,2588,-17
2018-04-01,B6,14,22,9,142,1065,5
2018-12-01,B6,75,18,4,66,369,73
2018-11-01,B6,-12,13,5,119,1010,-25
2018-05-01,B6,-4,10,5,286,2465,-19
2018-06-01,B6,17,34,10,130,944,0
2018-07-01,B6,-3,50,3,282,2153,-8
2018-12-01,B6,-9,14,3,80,634,-16
2018-11-01,B6,-11,10,2,92,588,-9
2018-02-01,B6,-9,16,3,180,1197,-17
2018-01-01,B6,-5,11,10,171,1065,2
2018-08-01,B6,18,17,7,290,2248,-3
2018-09-01,B6,43,16,7,300,2465,47
2018-05-01,B6,1,20,8,142,1069,-17
2018-06-01,B6,15,29,10,67,399,17
2018-11-01,B6,-9,13,3,76,588,-27
2018-08-01,B6,-2,10,4,299,2636,-12
2018-10-01,B6,-1,29,3,56,301,-10
2018-08-01,B6,155,34,9,212,1608,172
2018-01-01,B6,28,28,4,200,1598,32
2018-04-01,B6,-3,15,4,150,1069,-22
2018-11-01,B6,2,20,6,258,2269,1
2018-05-01,B6,-6,23,7,348,2586,-27
2019-04-01,B6,58,12,3,129,1073,32
2019-06-01,B6,-10,16,4,59,369,-14
2019-04-01,B6,-1,17,5,212,1674,-4
2019-01-01,B6,46,9,5,52,266,26
2019-06-01,B6,-6,12,10,300,2475,-16
2019-11-01,B6,44,13,4,193,1598,21
2019-11-01,B6,4,25,9,162,1069,13
2019-05-01,B6,-6,11,5,146,1065,-28
2019-05-01,B6,4,26,8,180,1249,10
2019-12-01,B6,134,40,6,168,1073,158
2019-02-01,B6,28,42,9,150,1065,44
2019-08-01,B6,-3,10,12,279,2411,-20
2019-08-01,B6,-7,51,4,315,2411,-25
2019-02-01,B6,-1,22,6,193,1598,-17
2019-10-01,B6,33,14,13,135,867,20
2019-11-01,B6,25,9,12,204,1598,16
2019-05-01,B6,0,17,5,161,1249,-3
2019-02-01,B6,-10,12,5,195,1626,-19
2019-06-01,B6,12,18,5,296,2588,-4
2019-07-01,B6,-2,14,7,140,1035,-5
2019-02-01,B6,26,13,7,218,1626,-23
2019-01-01,B6,-3,8,3,151,1368,-21
2019-10-01,B6,18,19,7,44,187,-2
2019-05-01,B6,126,13,4,286,1990,103
2019-10-01,B6,-9,13,8,151,1010,10
2019-02-01,B6,-8,11,6,225,1598,-1
2019-08-01,B6,10,16,5,102,760,-6
2019-01-01,B6,-8,15,6,153,950,11
2019-11-01,B6,11,17,7,134,1069,-3
2019-05-01,B6,110,11,10,225,1990,83
2019-08-01,B6,92,26,8,149,1069,81
2019-06-01,B6,-6,14,6,343,2475,-18
2019-10-01,B6,-15,16,4,51,319,-16
2019-01-01,B6,112,19,6,142,1069,106
2019-04-01,B6,98,22,4,134,1035,91
2019-08-01,B6,14,18,7,127,942,-1
2019-04-01,B6,34,32,7,359,2422,42
2019-01-01,B6,-2,19,8,185,1598,-28
2019-04-01,B6,11,22,11,253,1826,-22
2019-06-01,B6,70,13,4,127,1129,53
2019-07-01,B6,211,31,11,143,1069,202
2019-10-01,B6,34,12,6,106,867,10
2018-12-01,DL,3,17,5,99,641,-33
2018-02-01,DL,-9,18,8,54,300,-13
2018-09-01,DL,2,15,21,144,1089,-5
2018-04-01,DL,-5,16,6,46,296,-13
2018-11-01,DL,-4,11,12,48,232,-15
2018-10-01,DL,-1,12,8,127,792,-7
2018-10-01,DL,0,17,4,112,818,-21
2018-09-01,DL,-5,8,3,85,680,-24
2018-11-01,DL,-3,16,1,22,83,-14
2018-01-01,DL,-4,20,2,48,306,-12
2018-05-01,DL,-4,12,5,63,304,-8
2018-05-01,DL,0,19,3,109,588,8
2018-01-01,DL,-4,26,9,35,207,-17
2018-09-01,DL,-5,32,9,297,2475,-8
2018-07-01,DL,-11,19,8,65,431,-39
2018-11-01,DL,0,11,11,23,83,-10
2018-06-01,DL,-5,27,15,69,378,0
2018-08-01,DL,2,13,9,96,633,1
2018-06-01,DL,-5,35,6,119,765,14
2018-05-01,DL,-5,49,4,64,419,7
2018-06-01,DL,137,29,2,105,738,109
2018-09-01,DL,-3,12,10,84,590,-21
2018-12-01,DL,-6,16,8,41,214,-12
2018-12-01,DL,-9,27,6,43,254,-20
2018-06-01,DL,-3,25,13,90,585,4
2018-04-01,DL,-10,14,6,60,331,-19
2018-09-01,DL,5,14,6,198,1521,-1
2018-07-01,DL,-3,17,7,116,818,-2
2018-04-01,DL,47,15,3,19,83,38
2018-05-01,DL,-4,39,5,76,431,3
2018-08-01,DL,-3,11,15,65,352,-4
2018-08-01,DL,3,24,5,60,352,4
2018-06-01,DL,107,20,6,42,187,86
2018-07-01,DL,-7,15,10,71,431,-19
2018-10-01,DL,-7,25,8,104,610,3
2018-02-01,DL,-8,16,11,43,255,-13
2018-08-01,DL,0,16,5,40,223,-9
2018-05-01,DL,-8,12,7,111,821,-14
2018-02-01,DL,2,40,8,61,431,3
2018-07-01,DL,0,14,4,66,483,-40
2018-04-01,DL,-2,23,5,37,184,-15
2018-07-01,DL,-7,20,9,60,292,-10
2018-12-01,DL,-6,11,5,120,640,-9
2018-02-01,DL,-8,17,6,59,340,-36
2018-10-01,DL,26,26,5,91,534,37
2018-04-01,DL,-4,14,8,186,1107,-16
2018-08-01,DL,-4,46,9,82,633,13
2018-10-01,DL,-10,14,7,91,489,-8
2018-01-01,DL,-6,44,6,56,201,15
2018-11-01,DL,-5,34,5,42,213,-14
2018-11-01,DL,-4,12,9,50,209,-14
2018-01-01,DL,-3,16,13,37,201,-15
2018-01-01,DL,27,42,13,36,164,49
2018-02-01,DL,-11,58,13,41,198,10
2019-02-01,DL,-3,30,5,59,411,7
2019-07-01,DL,-7,13,4,159,1254,-17
2019-05-01,DL,-5,19,3,55,301,-15
2019-05-01,DL,-1,26,4,186,1214,17
2019-04-30,DL,-9,37,5,134,888,-15
2019-07-01,DL,-3,16,4,107,738,-15
2019-08-01,DL,262,32,23,43,187,269
2019-09-01,DL,-8,25,7,91,633,-6
2019-07-01,DL,-4,13,14,76,534,-7
2019-08-01,DL,-7,14,8,65,448,-21
2019-02-01,DL,26,48,7,54,335,25
