fl_date,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,dep_delay,taxi_out,taxi_in,air_time,distance,arr_delay
2019-06-01,AA,2320,AA,N553UW,2320,14107,PHX,10721,BOS,-4,28,10,274,2300,8
2019-10-01,AA,5121,OH,N598NN,5121,10868,CAE,11057,CLT,-4,12,6,24,88,-27
2019-04-29,AA,3,AA,N110AN,3,12478,JFK,12892,LAX,-6,18,7,337,2475,-26
2019-04-29,AA,4,AA,N108NN,4,12892,LAX,12478,JFK,96,13,9,288,2475,72
2019-09-01,AA,850,AA,N120EE,850,11298,DFW,12892,LAX,-2,12,8,159,1235,-27
2019-05-01,AA,4541,YX,N101HQ,4541,13198,MCI,14100,PHL,-4,10,7,132,1038,-16
2019-04-29,AA,1,AA,N108NN,1,12478,JFK,12892,LAX,-6,16,17,349,2475,-11
2019-02-01,AA,211,AA,N830NN,211,12892,LAX,14683,SAT,-5,19,5,140,1211,-13
2019-07-01,AA,6047,CP,N209NN,6047,15370,TUL,12892,LAX,-1,16,8,164,1283,-21
2019-06-01,AA,5725,YV,N924FJ,5725,11298,DFW,15370,TUL,-3,17,3,45,237,-5
2019-02-01,AA,259,AA,N947AN,259,10721,BOS,13930,ORD,43,20,8,133,867,23
2019-11-01,AA,5809,YV,N902FJ,5809,13158,MAF,11298,DFW,31,17,16,51,309,36
2019-07-01,AA,6035,CP,N201NN,6035,14679,SAN,12892,LAX,-3,15,6,26,109,-13
2019-01-01,AA,5621,OH,N720PS,5621,13360,MLB,11057,CLT,0,7,3,74,490,-24
2019-09-01,AA,5,AA,N751AN,5,11298,DFW,12173,HNL,26,17,4,447,3784,-1
2019-08-01,AA,613,AA,N833AW,613,14107,PHX,13871,OMA,-2,16,4,127,1037,-18
2019-08-01,AA,581,AA,N906AN,581,12953,LGA,11298,DFW,-2,47,17,178,1389,12
2019-05-01,AA,4538,YX,N118HQ,4538,12339,IND,11057,CLT,-6,15,9,72,427,-10
2019-05-01,AA,4538,YX,N118HQ,4538,11057,CLT,12339,IND,-2,22,5,70,427,-12
2019-10-01,AA,5122,OH,N248PS,5122,11278,DCA,10868,CAE,-14,8,4,63,408,-31
2019-05-01,AA,4549,YX,N442YX,4549,11624,EYW,13303,MIA,-2,10,6,29,126,-2
2019-09-01,AA,8,AA,N751AN,8,12173,HNL,11298,DFW,-3,15,7,404,3784,-23
2018-07-01,AS,2002,QX,N413QX,2002,14747,SEA,16101,YKM,29,17,4,25,103,31
2018-10-01,AS,18,AS,N467AS,18,14747,SEA,12478,JFK,-5,30,36,268,2422,5
2018-10-01,AS,3296,KS,N682PA,3296,10299,ANC,11445,DUT,-14,14,3,133,792,1
2018-09-01,AS,3287,KS,N687PA,3287,11445,DUT,10299,ANC,0,8,7,127,792,-8
2018-02-01,AS,3304,OO,N189SY,3304,14831,SJC,15376,TUS,0,11,4,97,722,-20
2018-05-01,AS,3332,OO,N197SY,3332,11259,DAL,11278,DCA,-3,17,9,148,1184,3
2018-12-01,AS,15,AS,N264AK,15,10721,BOS,14747,SEA,-4,16,15,314,2496,-52
2018-08-01,AS,1,AS,N529AS,1,11278,DCA,14747,SEA,-6,12,11,313,2329,-25
2018-06-01,AS,2020,QX,N443QX,2020,14747,SEA,10275,ALW,-7,12,3,40,213,-6
2018-04-01,AS,3306,OO,N173SY,3306,14057,PDX,10713,BOI,-6,20,4,47,344,-5
2018-09-01,AS,2001,QX,N451QX,2001,16101,YKM,14747,SEA,-13,8,3,27,103,-15
2018-11-01,AS,4,AS,N559AS,4,14747,SEA,11278,DCA,-7,38,3,271,2329,-10
2018-08-01,AS,3,AS,N535AS,3,11278,DCA,14747,SEA,-9,26,18,326,2329,3
2018-01-01,AS,35,AS,N493AS,35,11697,FLL,14747,SEA,-6,25,6,356,2717,-32
2018-07-01,AS,2009,QX,N416QX,2009,14057,PDX,14489,RDM,-8,9,2,26,116,-11
2018-02-01,AS,3301,OO,N189SY,3301,10423,AUS,14831,SJC,-2,12,4,207,1476,-14
2018-06-01,AS,2012,QX,N442QX,2012,14057,PDX,10849,BZN,-4,6,5,85,554,-14
2018-01-01,AS,38,AS,N493AS,38,14747,SEA,11697,FLL,-7,21,5,305,2717,-32
